Months_Last_Donation,Num_Donations,Total_Volume_Normalized,Months_First_Donation,Donated_March_2007
2,50,1.0,98,1
0,13,0.26,28,1
1,16,0.32,35,1
2,20,0.4,45,1
1,24,0.48,77,0
4,4,0.08,4,0
2,7,0.14,14,1
1,12,0.24,35,0
5,46,0.92,98,1
0,3,0.06,4,0
2,10,0.2,28,1
1,13,0.26,47,0
2,6,0.12,15,1
2,5,0.1,11,1
2,14,0.28,48,1
2,15,0.3,49,1
2,6,0.12,15,1
2,3,0.06,4,1
2,3,0.06,4,1
4,11,0.22,28,0
2,6,0.12,16,1
2,6,0.12,16,1
4,14,0.28,40,0
4,6,0.12,14,0
4,8,0.16,21,0
1,14,0.28,58,0
4,10,0.2,28,1
4,10,0.2,28,1
2,16,0.32,64,0
2,8,0.16,28,1
2,12,0.24,47,1
4,6,0.12,16,1
4,7,0.14,22,1
2,13,0.26,53,1
2,5,0.1,16,0
2,5,0.1,16,1
2,5,0.1,16,0
4,20,0.4,69,1
4,9,0.18,28,1
2,9,0.18,36,0
2,2,0.04,2,0
2,2,0.04,2,0
2,2,0.04,2,0
2,11,0.22,46,0
2,11,0.22,46,1
2,6,0.12,22,0
4,5,0.1,14,1
4,19,0.38,69,1
4,8,0.16,26,1
2,7,0.14,28,1
3,6,0.12,21,0
2,8,0.16,35,1
4,5,0.1,16,1
3,16,0.32,74,0
2,4,0.08,14,1
0,2,0.04,4,0
4,7,0.14,25,0
1,9,0.18,51,0
2,4,0.08,16,0
2,4,0.08,16,0
4,17,0.34,71,1
2,2,0.04,4,0
2,2,0.04,4,1
2,2,0.04,4,1
2,4,0.08,16,1
2,2,0.04,4,0
2,2,0.04,4,0
2,4,0.08,16,0
2,4,0.08,16,0
2,4,0.08,16,0
2,6,0.12,28,1
2,6,0.12,28,0
4,2,0.04,4,0
4,2,0.04,4,0
2,7,0.14,35,1
4,2,0.04,4,1
4,2,0.04,4,0
4,2,0.04,4,0
12,11,0.22,23,0
3,17,0.34,86,0
4,9,0.18,38,1
4,8,0.16,34,1
4,9,0.18,40,0
2,5,0.1,26,0
6,17,0.34,70,0
0,8,0.16,59,0
2,3,0.06,14,0
2,10,0.2,64,0
4,9,0.18,46,0
4,5,0.1,23,0
4,8,0.16,40,1
2,12,0.24,82,0
11,24,0.48,64,0
2,7,0.14,46,1
4,11,0.22,61,0
1,7,0.14,57,0
2,11,0.22,79,1
2,3,0.06,16,1
4,5,0.1,26,1
2,6,0.12,41,1
2,5,0.1,33,1
2,4,0.08,26,0
2,5,0.1,34,0
4,8,0.16,46,1
4,8,0.16,48,1
2,2,0.04,10,1
4,5,0.1,28,0
2,2,0.04,10,0
2,11,0.22,88,0
2,3,0.06,19,0
2,5,0.1,37,0
9,5,0.1,19,0
2,2,0.04,11,0
2,9,0.18,74,0
4,3,0.06,16,0
4,3,0.06,16,0
4,2,0.04,9,1
6,3,0.06,14,0
2,2,0.04,11,0
2,2,0.04,11,1
2,2,0.04,11,0
2,7,0.14,58,1
2,1,0.02,2,1
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,1
2,1,0.02,2,1
2,1,0.02,2,1
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
11,10,0.2,35,0
11,4,0.08,16,1
4,6,0.12,41,1
2,3,0.06,22,0
4,4,0.08,26,1
10,4,0.08,16,0
2,4,0.08,35,0
4,12,0.24,88,0
13,8,0.16,26,0
4,5,0.1,34,0
4,5,0.1,35,1
4,7,0.14,52,0
4,7,0.14,52,0
2,2,0.04,14,0
2,5,0.1,47,1
9,8,0.16,38,1
4,6,0.12,47,0
9,9,0.18,45,0
4,6,0.12,52,0
4,7,0.14,58,0
6,2,0.04,11,1
11,9,0.18,38,0
2,2,0.04,16,0
2,7,0.14,76,0
11,6,0.12,27,0
11,3,0.06,14,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,1
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,1
4,1,0.02,4,0
4,3,0.06,24,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
10,8,0.16,39,0
14,7,0.14,26,0
8,10,0.2,63,0
4,2,0.04,14,0
2,4,0.08,43,0
8,9,0.18,58,0
8,8,0.16,52,1
11,22,0.44,98,0
4,3,0.06,25,1
11,17,0.34,79,1
9,2,0.04,11,0
4,5,0.1,46,0
7,12,0.24,86,0
11,2,0.04,11,0
11,2,0.04,11,0
2,6,0.12,75,0
11,8,0.16,41,1
11,3,0.06,16,1
12,13,0.26,59,0
2,3,0.06,35,0
16,8,0.16,28,0
11,7,0.14,37,0
4,3,0.06,28,0
12,12,0.24,58,0
4,4,0.08,41,0
11,14,0.28,73,1
4,5,0.1,58,0
4,4,0.08,43,1
3,2,0.04,23,0
11,8,0.16,46,0
4,7,0.14,82,0
13,4,0.08,21,0
16,7,0.14,28,0
7,2,0.04,16,0
4,5,0.1,58,0
4,5,0.1,58,0
4,4,0.08,46,0
14,13,0.26,57,0
4,3,0.06,34,0
14,18,0.36,78,0
11,8,0.16,48,0
14,16,0.32,70,0
14,4,0.08,22,1
14,5,0.1,26,0
8,2,0.04,16,0
11,2,0.04,14,0
4,2,0.04,23,0
14,3,0.06,19,1
16,12,0.24,50,0
11,4,0.08,28,0
11,5,0.1,35,0
2,4,0.08,70,0
14,5,0.1,28,0
14,2,0.04,14,0
14,2,0.04,14,0
14,2,0.04,14,0
14,6,0.12,34,0
11,5,0.1,37,1
4,5,0.1,74,0
11,3,0.06,23,0
11,5,0.1,38,0
12,9,0.18,60,0
9,1,0.02,9,0
9,1,0.02,9,0
4,2,0.04,29,0
11,2,0.04,17,0
14,4,0.08,26,0
11,9,0.18,72,1
11,5,0.1,41,0
9,5,0.1,51,1
14,8,0.16,50,1
16,7,0.14,38,0
14,2,0.04,16,0
14,16,0.32,98,0
14,4,0.08,28,1
16,7,0.14,39,0
14,7,0.14,47,0
16,6,0.12,35,1
11,3,0.06,28,0
11,1,0.02,11,1
9,3,0.06,34,0
14,4,0.08,30,0
23,38,0.76,98,0
11,1,0.02,11,0
11,1,0.02,11,0
11,1,0.02,11,0
11,1,0.02,11,0
11,1,0.02,11,0
11,2,0.04,21,0
11,5,0.1,50,0
11,2,0.04,21,0
16,4,0.08,28,0
14,3,0.06,26,0
9,2,0.04,26,0
14,6,0.12,51,0
11,2,0.04,24,0
4,3,0.06,71,0
21,13,0.26,57,0
11,6,0.12,71,0
14,2,0.04,21,1
23,15,0.3,57,0
14,4,0.08,38,0
11,2,0.04,26,0
16,5,0.1,40,1
4,2,0.04,51,1
14,4,0.08,40,0
11,3,0.06,40,1
14,5,0.1,50,0
14,1,0.02,14,0
14,1,0.02,14,0
14,1,0.02,14,0
14,1,0.02,14,0
14,1,0.02,14,0
14,7,0.14,72,0
14,1,0.02,14,0
9,3,0.06,52,0
14,7,0.14,73,0
11,4,0.08,58,0
11,4,0.08,59,0
4,2,0.04,59,0
11,4,0.08,61,0
16,4,0.08,40,0
16,10,0.2,89,0
21,2,0.04,21,1
21,3,0.06,26,0
16,8,0.16,76,0
21,3,0.06,26,1
18,2,0.04,23,0
23,5,0.1,33,0
16,3,0.06,34,0
14,5,0.1,64,0
14,3,0.06,41,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
16,4,0.08,45,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
21,2,0.04,23,0
21,2,0.04,23,0
14,4,0.08,57,0
16,5,0.1,60,0
23,2,0.04,23,0
14,5,0.1,74,0
23,3,0.06,28,0
16,3,0.06,40,0
9,2,0.04,52,0
9,2,0.04,52,0
16,7,0.14,87,1
14,2,0.04,35,0
16,7,0.14,93,0
21,2,0.04,25,0
14,3,0.06,52,0
18,8,0.16,95,0
16,3,0.06,46,0
11,3,0.06,76,0
23,12,0.24,86,0
21,3,0.06,35,0
23,2,0.04,26,0
23,2,0.04,26,0
23,3,0.06,33,0
23,2,0.04,28,0
21,1,0.02,21,0
21,1,0.02,21,0
21,1,0.02,21,0
21,1,0.02,21,0
21,1,0.02,21,0
21,1,0.02,21,0
21,1,0.02,21,0
21,1,0.02,21,0
21,1,0.02,21,1
21,1,0.02,21,0
21,1,0.02,21,0
21,5,0.1,60,0
23,4,0.08,45,0
21,4,0.08,52,0
22,1,0.02,22,1
11,2,0.04,70,0
23,5,0.1,58,0
23,3,0.06,40,0
23,3,0.06,41,0
14,3,0.06,83,0
21,2,0.04,35,0
26,5,0.1,49,1
23,6,0.12,70,0
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
23,4,0.08,53,0
21,6,0.12,86,0
21,3,0.06,64,0
16,2,0.04,70,0
21,3,0.06,70,0
23,4,0.08,87,0
23,3,0.06,89,0
35,3,0.06,64,0
74,1,0.02,74,0
2,43,0.86,86,1
6,22,0.44,28,1
2,44,0.88,98,0
2,11,0.22,23,0
2,21,0.42,52,1
4,4,0.08,4,1
2,11,0.22,26,0
2,11,0.22,28,0
3,14,0.28,35,0
4,6,0.12,14,0
3,5,0.1,12,1
4,33,0.66,98,1
3,10,0.2,33,1
4,10,0.2,28,1
2,11,0.22,40,1
2,11,0.22,41,1
4,13,0.26,39,1
1,10,0.2,43,1
4,9,0.18,28,0
2,5,0.1,16,1
2,6,0.12,22,1
4,5,0.1,16,1
2,4,0.08,14,1
2,4,0.08,14,0
2,6,0.12,26,0
4,5,0.1,16,1
2,7,0.14,32,1
2,6,0.12,26,1
2,8,0.16,38,1
2,2,0.04,4,1
2,6,0.12,28,1
4,2,0.04,4,1
1,14,0.28,95,0
2,3,0.06,11,0
2,12,0.24,70,1
4,7,0.14,32,1
4,4,0.08,16,0
2,6,0.12,35,1
2,3,0.06,14,0
2,4,0.08,23,0
4,4,0.08,18,0
5,6,0.12,28,0
4,6,0.12,30,0
14,5,0.1,14,0
3,8,0.16,50,0
4,9,0.18,52,0
4,16,0.32,98,1
2,9,0.18,75,0
4,6,0.12,35,0
4,9,0.18,55,0
4,6,0.12,35,1
2,6,0.12,45,0
2,6,0.12,47,0
4,2,0.04,9,0
2,2,0.04,11,1
4,6,0.12,38,1
9,9,0.18,38,0
11,5,0.1,18,0
2,3,0.06,21,0
2,1,0.02,2,0
2,1,0.02,2,1
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,1,0.02,2,0
2,3,0.06,22,0
9,11,0.22,49,1
3,5,0.1,38,0
3,1,0.02,3,1
4,6,0.12,43,0
2,3,0.06,24,0
12,11,0.22,39,0
2,2,0.04,14,0
9,3,0.06,14,0
14,8,0.16,26,0
4,2,0.04,13,0
4,11,0.22,95,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,1,0.02,4,0
4,7,0.14,62,0
4,4,0.08,34,1
11,6,0.12,28,0
13,3,0.06,14,1
9,9,0.18,54,0
11,2,0.04,11,0
2,5,0.1,63,0
7,11,0.22,89,0
8,9,0.18,64,0
2,2,0.04,22,0
11,16,0.32,89,0
4,5,0.1,58,0
14,7,0.14,35,0
11,4,0.08,27,0
7,9,0.18,89,1
7,5,0.1,52,0
11,6,0.12,41,0
10,5,0.1,38,0
14,2,0.04,14,1
14,2,0.04,14,0
14,2,0.04,14,0
2,2,0.04,33,0
11,3,0.06,23,0
14,8,0.16,46,0
9,1,0.02,9,0
16,5,0.1,27,0
14,4,0.08,26,0
4,2,0.04,30,0
14,3,0.06,21,0
16,16,0.32,77,0
4,2,0.04,31,0
14,8,0.16,50,0
11,3,0.06,26,0
14,7,0.14,45,0
15,5,0.1,33,0
16,2,0.04,16,0
16,3,0.06,21,0
11,8,0.16,72,0
11,1,0.02,11,0
11,1,0.02,11,0
11,1,0.02,11,1
2,3,0.06,75,1
2,3,0.06,77,0
16,4,0.08,28,0
16,15,0.3,87,0
16,14,0.28,83,0
16,10,0.2,62,0
16,3,0.06,23,0
14,3,0.06,26,0
23,19,0.38,62,0
11,7,0.14,75,0
20,14,0.28,69,1
4,2,0.04,46,0
11,2,0.04,25,0
11,3,0.06,37,0
13,7,0.14,76,0
16,6,0.12,50,0
14,3,0.06,33,0
14,1,0.02,14,0
14,1,0.02,14,0
14,1,0.02,14,0
14,1,0.02,14,0
17,7,0.14,58,1
14,3,0.06,35,0
16,7,0.14,64,0
21,2,0.04,21,0
16,3,0.06,35,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
16,1,0.02,16,0
11,4,0.08,74,0
21,6,0.12,48,0
23,2,0.04,23,0
23,6,0.12,45,0
14,2,0.04,35,1
16,4,0.08,58,0
16,5,0.1,71,0
21,2,0.04,26,0
21,3,0.06,35,0
23,8,0.16,69,0
21,3,0.06,38,0
21,3,0.06,40,0
21,1,0.02,21,0
21,1,0.02,21,0
25,6,0.12,50,0
21,1,0.02,21,0
21,1,0.02,21,0
23,3,0.06,39,0
21,2,0.04,33,0
14,3,0.06,79,0
23,1,0.02,23,1
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
23,1,0.02,23,0
16,3,0.06,86,0
21,2,0.04,52,0
39,1,0.02,39,0
72,1,0.02,72,0
